vehicle_test_id,boot_id,attributed_boardings,max_counter_reading,readings
VEH_TEST_01,BOOT_VEH_TEST_01_20260413,684,72,18
VEH_TEST_01,BOOT_VEH_TEST_01_20260414,684,72,18
VEH_TEST_01,BOOT_VEH_TEST_01_20260415,684,72,18
VEH_TEST_02,BOOT_VEH_TEST_02_20260413,855,90,18
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_AM,225,45,9
VEH_TEST_02,BOOT_VEH_TEST_02_20260414_PM,225,45,9
VEH_TEST_02,BOOT_VEH_TEST_02_20260415,855,90,18
VEH_TEST_03,BOOT_VEH_TEST_03_20260413,855,90,18
VEH_TEST_03,BOOT_VEH_TEST_03_20260414,855,90,18
VEH_TEST_03,BOOT_VEH_TEST_03_20260415,855,90,18
VEH_TEST_04,BOOT_VEH_TEST_04_20260413,684,72,18
VEH_TEST_04,BOOT_VEH_TEST_04_20260414,684,72,18
VEH_TEST_04,BOOT_VEH_TEST_04_20260415,684,72,18
