service_date,route_id,service_hour_utc,published_boardings,gate_control,residual,ratio
2026-04-13,R1,6,24,12,12,2.0
2026-04-13,R1,7,60,12,48,5.0
2026-04-13,R1,8,96,12,84,8.0
2026-04-13,R1,16,132,12,120,11.0
2026-04-13,R1,17,168,12,156,14.0
2026-04-13,R1,18,204,12,192,17.0
2026-04-13,R2,6,30,15,15,2.0
2026-04-13,R2,7,75,15,60,5.0
2026-04-13,R2,8,120,15,105,8.0
2026-04-13,R2,16,165,15,150,11.0
2026-04-13,R2,17,210,15,195,14.0
2026-04-13,R2,18,255,15,240,17.0
2026-04-13,R3,6,30,15,15,2.0
2026-04-13,R3,7,75,15,60,5.0
2026-04-13,R3,8,120,15,105,8.0
2026-04-13,R3,16,165,15,150,11.0
2026-04-13,R3,17,210,15,195,14.0
2026-04-13,R3,18,255,15,240,17.0
2026-04-13,R4,6,24,12,12,2.0
2026-04-13,R4,7,60,12,48,5.0
2026-04-13,R4,8,96,12,84,8.0
2026-04-13,R4,16,132,12,120,11.0
2026-04-13,R4,17,168,12,156,14.0
2026-04-13,R4,18,204,12,192,17.0
2026-04-14,R1,6,24,12,12,2.0
2026-04-14,R1,7,60,12,48,5.0
2026-04-14,R1,8,96,12,84,8.0
2026-04-14,R1,16,132,12,120,11.0
2026-04-14,R1,17,168,12,156,14.0
2026-04-14,R1,18,204,12,192,17.0
2026-04-14,R2,6,30,15,15,2.0
2026-04-14,R2,7,75,15,60,5.0
2026-04-14,R2,8,120,15,105,8.0
2026-04-14,R2,16,30,15,15,2.0
2026-04-14,R2,17,75,15,60,5.0
2026-04-14,R2,18,120,15,105,8.0
2026-04-14,R3,6,30,15,15,2.0
2026-04-14,R3,7,75,15,60,5.0
2026-04-14,R3,8,120,15,105,8.0
2026-04-14,R3,16,165,15,150,11.0
2026-04-14,R3,17,210,15,195,14.0
2026-04-14,R3,18,255,15,240,17.0
2026-04-14,R4,6,24,12,12,2.0
2026-04-14,R4,7,60,12,48,5.0
2026-04-14,R4,8,96,12,84,8.0
2026-04-14,R4,16,132,12,120,11.0
2026-04-14,R4,17,168,12,156,14.0
2026-04-14,R4,18,204,12,192,17.0
2026-04-15,R1,6,24,12,12,2.0
2026-04-15,R1,7,60,12,48,5.0
2026-04-15,R1,8,96,12,84,8.0
2026-04-15,R1,16,132,12,120,11.0
2026-04-15,R1,17,168,12,156,14.0
2026-04-15,R1,18,204,12,192,17.0
2026-04-15,R2,6,30,15,15,2.0
2026-04-15,R2,7,75,15,60,5.0
2026-04-15,R2,8,120,15,105,8.0
2026-04-15,R2,16,165,15,150,11.0
2026-04-15,R2,17,210,15,195,14.0
2026-04-15,R2,18,255,15,240,17.0
2026-04-15,R3,6,30,15,15,2.0
2026-04-15,R3,7,75,15,60,5.0
2026-04-15,R3,8,120,15,105,8.0
2026-04-15,R3,16,165,15,150,11.0
2026-04-15,R3,17,210,15,195,14.0
2026-04-15,R3,18,255,15,240,17.0
2026-04-15,R4,6,24,12,12,2.0
2026-04-15,R4,7,60,12,48,5.0
2026-04-15,R4,8,96,12,84,8.0
2026-04-15,R4,16,132,12,120,11.0
2026-04-15,R4,17,168,12,156,14.0
2026-04-15,R4,18,204,12,192,17.0
