reading_id,observed_at,grouped_day,reference_day,matches
GR_B1,2026-04-15T16:59:00Z,2026-04-15,2026-04-15,1
GR_B2,2026-04-15T17:00:00Z,2026-04-15,2026-04-16,0
GR_D1,2026-04-04T14:30:00Z,2026-04-04,2026-04-04,1
GR_D2,2026-04-04T15:45:00Z,2026-04-04,2026-04-04,1
GR_D3,2026-04-04T17:15:00Z,2026-04-04,2026-04-05,0
GR_D4,2026-04-04T18:45:00Z,2026-04-04,2026-04-05,0
GR_D5,2026-04-04T20:15:00Z,2026-04-04,2026-04-05,0
GR_D6,2026-04-04T23:45:00Z,2026-04-04,2026-04-05,0
GR_D7,2026-04-05T01:15:00Z,2026-04-05,2026-04-05,1
GR_F1,2026-10-03T14:30:00Z,2026-10-03,2026-10-03,1
GR_F2,2026-10-03T18:00:00Z,2026-10-03,2026-10-04,0
GR_N1,2026-04-12T14:30:00Z,2026-04-12,2026-04-12,1
GR_N2,2026-04-12T15:45:00Z,2026-04-12,2026-04-12,1
GR_N3,2026-04-12T18:15:00Z,2026-04-12,2026-04-13,0
GR_N4,2026-04-12T20:45:00Z,2026-04-12,2026-04-13,0
GR_N5,2026-04-13T02:45:00Z,2026-04-13,2026-04-13,1
