route_id,service_date,daily_distance_m
R1,2026-04-01,91000000
R1,2026-04-02,91000919
R1,2026-04-03,91000838
R1,2026-04-04,91000757
R1,2026-04-05,91000676
R1,2026-04-06,91000595
R1,2026-04-07,91000514
R1,2026-04-08,91000433
R1,2026-04-09,91000352
R1,2026-04-10,91000271
R1,2026-04-11,91000190
R1,2026-04-12,91000109
R1,2026-04-13,91000028
R1,2026-04-14,91000947
R1,2026-04-15,91000866
R1,2026-04-16,91000785
R1,2026-04-17,91000704
R1,2026-04-18,91000623
R1,2026-04-19,91000542
R1,2026-04-20,91000461
R1,2026-04-21,91000380
R1,2026-04-22,91000299
R1,2026-04-23,91000218
R1,2026-04-24,91000137
R1,2026-04-25,91000056
R1,2026-04-26,91000975
R1,2026-04-27,91000894
R1,2026-04-28,91000813
R1,2026-04-29,91000732
R1,2026-04-30,91000651
R2,2026-04-01,72000000
R2,2026-04-02,72000919
R2,2026-04-03,72000838
R2,2026-04-04,72000757
R2,2026-04-05,72000676
R2,2026-04-06,72000595
R2,2026-04-07,72000514
R2,2026-04-08,72000433
R2,2026-04-09,72000352
R2,2026-04-10,72000271
R2,2026-04-11,72000190
R2,2026-04-12,72000109
R2,2026-04-13,72000028
R2,2026-04-14,72000947
R2,2026-04-15,72000866
R2,2026-04-16,72000785
R2,2026-04-17,72000704
R2,2026-04-18,72000623
R2,2026-04-19,72000542
R2,2026-04-20,72000461
R2,2026-04-21,72000380
R2,2026-04-22,72000299
R2,2026-04-23,72000218
R2,2026-04-24,72000137
R2,2026-04-25,72000056
R2,2026-04-26,72000975
R2,2026-04-27,72000894
R2,2026-04-28,72000813
R2,2026-04-29,72000732
R2,2026-04-30,72000651
R3,2026-04-01,58000000
R3,2026-04-02,58000919
R3,2026-04-03,58000838
R3,2026-04-04,58000757
R3,2026-04-05,58000676
R3,2026-04-06,58000595
R3,2026-04-07,58000514
R3,2026-04-08,58000433
R3,2026-04-09,58000352
R3,2026-04-10,58000271
R3,2026-04-11,58000190
R3,2026-04-12,58000109
R3,2026-04-13,58000028
R3,2026-04-14,58000947
R3,2026-04-15,58000866
R3,2026-04-16,58000785
R3,2026-04-17,58000704
R3,2026-04-18,58000623
R3,2026-04-19,58000542
R3,2026-04-20,58000461
R3,2026-04-21,58000380
R3,2026-04-22,58000299
R3,2026-04-23,58000218
R3,2026-04-24,58000137
R3,2026-04-25,58000056
R3,2026-04-26,58000975
R3,2026-04-27,58000894
R3,2026-04-28,58000813
R3,2026-04-29,58000732
R3,2026-04-30,58000651
R4,2026-04-01,40000000
R4,2026-04-02,40000919
R4,2026-04-03,40000838
R4,2026-04-04,40000757
R4,2026-04-05,40000676
R4,2026-04-06,40000595
R4,2026-04-07,40000514
R4,2026-04-08,40000433
R4,2026-04-09,40000352
R4,2026-04-10,40000271
R4,2026-04-11,40000190
R4,2026-04-12,40000109
R4,2026-04-13,40000028
R4,2026-04-14,40000947
R4,2026-04-15,40000866
R4,2026-04-16,40000785
R4,2026-04-17,40000704
R4,2026-04-18,40000623
R4,2026-04-19,40000542
R4,2026-04-20,40000461
R4,2026-04-21,40000380
R4,2026-04-22,40000299
R4,2026-04-23,40000218
R4,2026-04-24,40000137
R4,2026-04-25,40000056
R4,2026-04-26,40000975
R4,2026-04-27,40000894
R4,2026-04-28,40000813
R4,2026-04-29,40000732
R4,2026-04-30,40000651
