position_event_id,vehicle_id,raw_value,within_valid_window
POS_0001,VEH_TEST_01,1776061800,0
POS_0002,VEH_TEST_01,1776064500,0
POS_0003,VEH_TEST_01,1776156300,0
POS_0004,VEH_TEST_01,1776183600,0
POS_0005,VEH_TEST_01,1776273000,0
POS_0006,VEH_TEST_02,1776061800,0
POS_0007,VEH_TEST_02,1776064500,0
POS_0008,VEH_TEST_02,1776156300,0
POS_0009,VEH_TEST_02,1776183600,0
POS_0010,VEH_TEST_02,1776273000,0
POS_0011,VEH_TEST_03,1776061800,0
POS_0012,VEH_TEST_03,1776064500,0
POS_0013,VEH_TEST_03,1776156300,0
POS_0014,VEH_TEST_03,1776183600,0
POS_0015,VEH_TEST_03,1776273000,0
POS_0016,VEH_TEST_04,1776061800,0
POS_0017,VEH_TEST_04,1776064500,0
POS_0018,VEH_TEST_04,1776156300,0
POS_0019,VEH_TEST_04,1776183600,0
POS_0020,VEH_TEST_04,1776273000,0
