source_sequence,stop_event_id,trip_id,station_id,event_type,occurred_at_utc
1,AEV_0001,TRIP_R1_0200,STN_001,ARRIVAL,2026-04-15T02:00:00Z
2,AEV_0002,TRIP_R2_0200,STN_002,DEPARTURE,2026-04-15T02:00:02Z
3,AEV_0003,TRIP_R1_0200,STN_003,ARRIVAL,2026-04-15T02:00:04Z
4,AEV_0004,TRIP_R2_0200,STN_004,DEPARTURE,2026-04-15T02:00:06Z
5,AEV_0005,TRIP_R1_0200,STN_005,ARRIVAL,2026-04-15T02:00:08Z
6,AEV_0006,TRIP_R2_0200,STN_006,DEPARTURE,2026-04-15T02:00:10Z
7,AEV_0007,TRIP_R1_0200,STN_001,ARRIVAL,2026-04-15T02:00:12Z
8,AEV_0008,TRIP_R2_0200,STN_002,DEPARTURE,2026-04-15T02:00:14Z
9,AEV_0009,TRIP_R1_0200,STN_003,ARRIVAL,2026-04-15T02:00:16Z
10,AEV_0010,TRIP_R2_0200,STN_004,DEPARTURE,2026-04-15T02:00:18Z
11,AEV_0011,TRIP_R1_0200,STN_005,ARRIVAL,2026-04-15T02:00:20Z
12,AEV_0012,TRIP_R2_0200,STN_006,DEPARTURE,2026-04-15T02:00:22Z
13,AEV_0013,TRIP_R1_0200,STN_001,ARRIVAL,2026-04-15T02:00:24Z
14,AEV_0014,TRIP_R2_0200,STN_002,DEPARTURE,2026-04-15T02:00:26Z
15,AEV_0015,TRIP_R1_0200,STN_003,ARRIVAL,2026-04-15T02:00:28Z
16,AEV_0016,TRIP_R2_0200,STN_004,DEPARTURE,2026-04-15T02:00:30Z
17,AEV_0017,TRIP_R1_0200,STN_005,ARRIVAL,2026-04-15T02:00:32Z
18,AEV_0018,TRIP_R2_0200,STN_006,DEPARTURE,2026-04-15T02:00:34Z
19,AEV_0019,TRIP_R1_0200,STN_001,ARRIVAL,2026-04-15T02:00:36Z
