stable_id,service_date,updated_at,updated_at_in_range
TRIP_A01,2026-04-13,2026-04-13T06:00:00Z,yes
TRIP_A02,2026-04-13,2026-04-13T07:00:00Z,yes
TRIP_A03,2026-04-13,2026-04-13T08:00:00Z,yes
TRIP_A04,2026-04-13,2026-04-13T09:00:00Z,yes
TRIP_B01,2026-04-14,2026-04-14T06:00:00Z,yes
TRIP_B02,2026-04-14,2026-04-14T07:00:00Z,yes
TRIP_B03,2026-04-14,2026-04-14T08:00:00Z,yes
TRIP_C01,2026-04-15,2026-04-15T06:00:00Z,yes
TRIP_C02,2026-04-15,2026-04-15T07:00:00Z,yes
TRIP_C03,2026-04-15,2026-04-15T08:00:00Z,yes
TRIP_C04,2026-04-15,2026-04-15T09:00:00Z,yes
TRIP_B99,2026-04-14,(outside accepted range),no
