station_index,station_id,offset_s,access_state,staged,extra_attempts
1,STN_L001,0,GRANTED,1,0
2,STN_L002,5,GRANTED,1,0
3,STN_L003,10,GRANTED,1,0
4,STN_L004,15,GRANTED,1,0
5,STN_L005,20,GRANTED,1,0
6,STN_L006,25,GRANTED,1,0
7,STN_L007,30,GRANTED,1,0
8,STN_L008,35,GRANTED,1,0
9,STN_L009,40,GRANTED,1,0
10,STN_L010,45,GRANTED,1,0
11,STN_L011,50,GRANTED,1,0
12,STN_L012,55,GRANTED,1,0
13,STN_L013,60,GRANTED,1,0
14,STN_L014,65,GRANTED,1,0
15,STN_L015,70,GRANTED,1,0
16,STN_L016,75,GRANTED,1,0
17,STN_L017,80,GRANTED,1,0
18,STN_L018,85,GRANTED,1,0
19,STN_L019,90,GRANTED,1,0
20,STN_L020,95,GRANTED,1,0
21,STN_L021,100,GRANTED,1,0
22,STN_L022,105,GRANTED,1,0
23,STN_L023,110,GRANTED,1,0
24,STN_L024,115,GRANTED,1,0
25,STN_L025,120,GRANTED,1,0
26,STN_L026,125,GRANTED,1,0
27,STN_L027,130,GRANTED,1,0
28,STN_L028,135,GRANTED,1,0
29,STN_L029,140,GRANTED,1,0
30,STN_L030,145,GRANTED,1,0
31,STN_L031,150,GRANTED,1,0
32,STN_L032,155,GRANTED,1,0
33,STN_L033,160,GRANTED,1,0
34,STN_L034,165,GRANTED,1,0
35,STN_L035,170,GRANTED,1,0
36,STN_L036,175,GRANTED,1,0
37,STN_L037,180,GRANTED,1,0
38,STN_L038,185,GRANTED,1,0
39,STN_L039,190,GRANTED,1,0
40,STN_L040,195,GRANTED,1,0
41,STN_L041,200,DENIED,0,3
42,STN_L042,205,DENIED,0,3
43,STN_L043,210,DENIED,0,3
44,STN_L044,215,DENIED,0,3
45,STN_L045,220,DENIED,0,3
46,STN_L046,225,DENIED,0,3
47,STN_L047,230,DENIED,0,3
48,STN_L048,235,DENIED,0,3
49,STN_L049,240,DENIED,0,3
50,STN_L050,245,DENIED,0,3
51,STN_L051,250,DENIED,0,3
52,STN_L052,255,DENIED,0,3
53,STN_L053,260,DENIED,0,3
54,STN_L054,265,DENIED,0,3
55,STN_L055,270,DENIED,0,3
56,STN_L056,275,DENIED,0,3
57,STN_L057,280,DENIED,0,3
58,STN_L058,285,DENIED,0,3
59,STN_L059,290,DENIED,0,3
60,STN_L060,295,DENIED,0,3
61,STN_L061,300,DENIED,0,3
62,STN_L062,305,DENIED,0,3
63,STN_L063,310,DENIED,0,3
64,STN_L064,315,DENIED,0,3
65,STN_L065,320,DENIED,0,3
66,STN_L066,325,DENIED,0,3
67,STN_L067,330,DENIED,0,3
68,STN_L068,335,DENIED,0,3
69,STN_L069,340,DENIED,0,3
70,STN_L070,345,DENIED,0,3
71,STN_L071,350,DENIED,0,3
72,STN_L072,355,DENIED,0,3
73,STN_L073,360,DENIED,0,3
74,STN_L074,365,DENIED,0,3
75,STN_L075,370,DENIED,0,3
76,STN_L076,375,DENIED,0,3
77,STN_L077,380,DENIED,0,3
78,STN_L078,385,DENIED,0,3
79,STN_L079,390,DENIED,0,3
80,STN_L080,395,DENIED,0,3
81,STN_L081,400,DENIED,0,3
82,STN_L082,405,DENIED,0,3
83,STN_L083,410,DENIED,0,3
84,STN_L084,415,DENIED,0,3
85,STN_L085,420,DENIED,0,3
86,STN_L086,425,DENIED,0,3
87,STN_L087,430,DENIED,0,3
88,STN_L088,435,DENIED,0,3
89,STN_L089,440,DENIED,0,3
90,STN_L090,445,DENIED,0,3
91,STN_L091,450,DENIED,0,3
92,STN_L092,455,DENIED,0,3
93,STN_L093,460,DENIED,0,3
94,STN_L094,465,DENIED,0,3
95,STN_L095,470,DENIED,0,3
96,STN_L096,475,DENIED,0,3
97,STN_L097,480,DENIED,0,3
98,STN_L098,485,DENIED,0,3
99,STN_L099,490,DENIED,0,3
100,STN_L100,495,DENIED,0,3
