window_key,event_time,byte_estimate
window-0000,2026-04-15T01:00:00Z,64
window-0001,2026-04-15T01:00:00Z,64
window-0002,2026-04-15T01:00:00Z,64
window-0003,2026-04-15T01:00:00Z,64
window-0004,2026-04-15T01:00:00Z,64
window-0005,2026-04-15T01:00:00Z,64
window-0006,2026-04-15T01:00:00Z,64
window-0007,2026-04-15T01:00:00Z,64
window-0008,2026-04-15T02:00:00Z,64
window-0009,2026-04-15T02:00:00Z,64
window-0010,2026-04-15T02:00:00Z,64
window-0011,2026-04-15T02:00:00Z,64
window-0012,2026-04-15T02:00:00Z,64
window-0013,2026-04-15T02:00:00Z,64
window-0014,2026-04-15T02:00:00Z,64
window-0015,2026-04-15T02:00:00Z,64
window-0016,2026-04-15T03:00:00Z,64
window-0017,2026-04-15T03:00:00Z,64
window-0018,2026-04-15T03:00:00Z,64
window-0019,2026-04-15T03:00:00Z,64
window-0020,2026-04-15T03:00:00Z,64
window-0021,2026-04-15T03:00:00Z,64
window-0022,2026-04-15T03:00:00Z,64
window-0023,2026-04-15T03:00:00Z,64
window-0024,2026-04-15T04:00:00Z,64
window-0025,2026-04-15T04:00:00Z,64
window-0026,2026-04-15T04:00:00Z,64
window-0027,2026-04-15T04:00:00Z,64
window-0028,2026-04-15T04:00:00Z,64
window-0029,2026-04-15T04:00:00Z,64
window-0030,2026-04-15T04:00:00Z,64
window-0031,2026-04-15T04:00:00Z,64
window-0032,2026-04-15T05:00:00Z,64
window-0033,2026-04-15T05:00:00Z,64
window-0034,2026-04-15T05:00:00Z,64
window-0035,2026-04-15T05:00:00Z,64
window-0036,2026-04-15T05:00:00Z,64
window-0037,2026-04-15T05:00:00Z,64
window-0038,2026-04-15T05:00:00Z,64
window-0039,2026-04-15T05:00:00Z,64
window-0040,2026-04-15T06:00:00Z,64
window-0041,2026-04-15T06:00:00Z,64
window-0042,2026-04-15T06:00:00Z,64
window-0043,2026-04-15T06:00:00Z,64
window-0044,2026-04-15T06:00:00Z,64
window-0045,2026-04-15T06:00:00Z,64
window-0046,2026-04-15T06:00:00Z,64
window-0047,2026-04-15T06:00:00Z,64
window-0048,2026-04-15T07:00:00Z,64
window-0049,2026-04-15T07:00:00Z,64
window-0050,2026-04-15T07:00:00Z,64
window-0051,2026-04-15T07:00:00Z,64
window-0052,2026-04-15T07:00:00Z,64
window-0053,2026-04-15T07:00:00Z,64
window-0054,2026-04-15T07:00:00Z,64
window-0055,2026-04-15T07:00:00Z,64
window-0056,2026-04-15T08:00:00Z,64
window-0057,2026-04-15T08:00:00Z,64
window-0058,2026-04-15T08:00:00Z,64
window-0059,2026-04-15T08:00:00Z,64
window-0060,2026-04-15T08:00:00Z,64
window-0061,2026-04-15T08:00:00Z,64
window-0062,2026-04-15T08:00:00Z,64
window-0063,2026-04-15T08:00:00Z,64
window-0064,2026-04-15T09:00:00Z,64
window-0065,2026-04-15T09:00:00Z,64
window-0066,2026-04-15T09:00:00Z,64
window-0067,2026-04-15T09:00:00Z,64
window-0068,2026-04-15T09:00:00Z,64
window-0069,2026-04-15T09:00:00Z,64
window-0070,2026-04-15T09:00:00Z,64
window-0071,2026-04-15T09:00:00Z,64
window-0072,2026-04-15T10:00:00Z,64
window-0073,2026-04-15T10:00:00Z,64
window-0074,2026-04-15T10:00:00Z,64
window-0075,2026-04-15T10:00:00Z,64
window-0076,2026-04-15T10:00:00Z,64
window-0077,2026-04-15T10:00:00Z,64
window-0078,2026-04-15T10:00:00Z,64
window-0079,2026-04-15T10:00:00Z,64
window-0080,2026-04-15T11:00:00Z,64
window-0081,2026-04-15T11:00:00Z,64
window-0082,2026-04-15T11:00:00Z,64
window-0083,2026-04-15T11:00:00Z,64
window-0084,2026-04-15T11:00:00Z,64
window-0085,2026-04-15T11:00:00Z,64
window-0086,2026-04-15T11:00:00Z,64
window-0087,2026-04-15T11:00:00Z,64
window-0088,2026-04-15T12:00:00Z,64
window-0089,2026-04-15T12:00:00Z,64
window-0090,2026-04-15T12:00:00Z,64
window-0091,2026-04-15T12:00:00Z,64
window-0092,2026-04-15T12:00:00Z,64
window-0093,2026-04-15T12:00:00Z,64
window-0094,2026-04-15T12:00:00Z,64
window-0095,2026-04-15T12:00:00Z,64
