gate_event_id,device_id,station_id,observed_at_utc,trip_stop_window,passenger_count
GATE_000001,GATE_DEV_STN_001,STN_001,2026-04-13T06:30:00Z,R1:2026-04-13:06,4
GATE_000002,GATE_DEV_STN_002,STN_002,2026-04-13T06:30:00Z,R1:2026-04-13:06,4
GATE_000003,GATE_DEV_STN_003,STN_003,2026-04-13T06:30:00Z,R1:2026-04-13:06,4
GATE_000004,GATE_DEV_STN_001,STN_001,2026-04-13T07:30:00Z,R1:2026-04-13:07,4
GATE_000005,GATE_DEV_STN_002,STN_002,2026-04-13T07:30:00Z,R1:2026-04-13:07,4
GATE_000006,GATE_DEV_STN_003,STN_003,2026-04-13T07:30:00Z,R1:2026-04-13:07,4
GATE_000007,GATE_DEV_STN_001,STN_001,2026-04-13T08:30:00Z,R1:2026-04-13:08,4
GATE_000008,GATE_DEV_STN_002,STN_002,2026-04-13T08:30:00Z,R1:2026-04-13:08,4
GATE_000009,GATE_DEV_STN_003,STN_003,2026-04-13T08:30:00Z,R1:2026-04-13:08,4
GATE_000010,GATE_DEV_STN_001,STN_001,2026-04-13T16:30:00Z,R1:2026-04-13:16,4
GATE_000011,GATE_DEV_STN_002,STN_002,2026-04-13T16:30:00Z,R1:2026-04-13:16,4
GATE_000012,GATE_DEV_STN_003,STN_003,2026-04-13T16:30:00Z,R1:2026-04-13:16,4
GATE_000013,GATE_DEV_STN_001,STN_001,2026-04-13T17:30:00Z,R1:2026-04-13:17,4
GATE_000014,GATE_DEV_STN_002,STN_002,2026-04-13T17:30:00Z,R1:2026-04-13:17,4
GATE_000015,GATE_DEV_STN_003,STN_003,2026-04-13T17:30:00Z,R1:2026-04-13:17,4
GATE_000016,GATE_DEV_STN_001,STN_001,2026-04-13T18:30:00Z,R1:2026-04-13:18,4
GATE_000017,GATE_DEV_STN_002,STN_002,2026-04-13T18:30:00Z,R1:2026-04-13:18,4
GATE_000018,GATE_DEV_STN_003,STN_003,2026-04-13T18:30:00Z,R1:2026-04-13:18,4
GATE_000019,GATE_DEV_STN_004,STN_004,2026-04-13T06:30:00Z,R2:2026-04-13:06,5
GATE_000020,GATE_DEV_STN_005,STN_005,2026-04-13T06:30:00Z,R2:2026-04-13:06,5
GATE_000021,GATE_DEV_STN_006,STN_006,2026-04-13T06:30:00Z,R2:2026-04-13:06,5
GATE_000022,GATE_DEV_STN_004,STN_004,2026-04-13T07:30:00Z,R2:2026-04-13:07,5
GATE_000023,GATE_DEV_STN_005,STN_005,2026-04-13T07:30:00Z,R2:2026-04-13:07,5
GATE_000024,GATE_DEV_STN_006,STN_006,2026-04-13T07:30:00Z,R2:2026-04-13:07,5
GATE_000025,GATE_DEV_STN_004,STN_004,2026-04-13T08:30:00Z,R2:2026-04-13:08,5
GATE_000026,GATE_DEV_STN_005,STN_005,2026-04-13T08:30:00Z,R2:2026-04-13:08,5
GATE_000027,GATE_DEV_STN_006,STN_006,2026-04-13T08:30:00Z,R2:2026-04-13:08,5
GATE_000028,GATE_DEV_STN_004,STN_004,2026-04-13T16:30:00Z,R2:2026-04-13:16,5
GATE_000029,GATE_DEV_STN_005,STN_005,2026-04-13T16:30:00Z,R2:2026-04-13:16,5
GATE_000030,GATE_DEV_STN_006,STN_006,2026-04-13T16:30:00Z,R2:2026-04-13:16,5
GATE_000031,GATE_DEV_STN_004,STN_004,2026-04-13T17:30:00Z,R2:2026-04-13:17,5
GATE_000032,GATE_DEV_STN_005,STN_005,2026-04-13T17:30:00Z,R2:2026-04-13:17,5
GATE_000033,GATE_DEV_STN_006,STN_006,2026-04-13T17:30:00Z,R2:2026-04-13:17,5
GATE_000034,GATE_DEV_STN_004,STN_004,2026-04-13T18:30:00Z,R2:2026-04-13:18,5
GATE_000035,GATE_DEV_STN_005,STN_005,2026-04-13T18:30:00Z,R2:2026-04-13:18,5
GATE_000036,GATE_DEV_STN_006,STN_006,2026-04-13T18:30:00Z,R2:2026-04-13:18,5
GATE_000037,GATE_DEV_STN_007,STN_007,2026-04-13T06:30:00Z,R3:2026-04-13:06,5
GATE_000038,GATE_DEV_STN_008,STN_008,2026-04-13T06:30:00Z,R3:2026-04-13:06,5
GATE_000039,GATE_DEV_STN_009,STN_009,2026-04-13T06:30:00Z,R3:2026-04-13:06,5
GATE_000040,GATE_DEV_STN_007,STN_007,2026-04-13T07:30:00Z,R3:2026-04-13:07,5
GATE_000041,GATE_DEV_STN_008,STN_008,2026-04-13T07:30:00Z,R3:2026-04-13:07,5
GATE_000042,GATE_DEV_STN_009,STN_009,2026-04-13T07:30:00Z,R3:2026-04-13:07,5
GATE_000043,GATE_DEV_STN_007,STN_007,2026-04-13T08:30:00Z,R3:2026-04-13:08,5
GATE_000044,GATE_DEV_STN_008,STN_008,2026-04-13T08:30:00Z,R3:2026-04-13:08,5
GATE_000045,GATE_DEV_STN_009,STN_009,2026-04-13T08:30:00Z,R3:2026-04-13:08,5
GATE_000046,GATE_DEV_STN_007,STN_007,2026-04-13T16:30:00Z,R3:2026-04-13:16,5
GATE_000047,GATE_DEV_STN_008,STN_008,2026-04-13T16:30:00Z,R3:2026-04-13:16,5
GATE_000048,GATE_DEV_STN_009,STN_009,2026-04-13T16:30:00Z,R3:2026-04-13:16,5
GATE_000049,GATE_DEV_STN_007,STN_007,2026-04-13T17:30:00Z,R3:2026-04-13:17,5
GATE_000050,GATE_DEV_STN_008,STN_008,2026-04-13T17:30:00Z,R3:2026-04-13:17,5
GATE_000051,GATE_DEV_STN_009,STN_009,2026-04-13T17:30:00Z,R3:2026-04-13:17,5
GATE_000052,GATE_DEV_STN_007,STN_007,2026-04-13T18:30:00Z,R3:2026-04-13:18,5
GATE_000053,GATE_DEV_STN_008,STN_008,2026-04-13T18:30:00Z,R3:2026-04-13:18,5
GATE_000054,GATE_DEV_STN_009,STN_009,2026-04-13T18:30:00Z,R3:2026-04-13:18,5
