service_date,trip_id,route_id,direction_id,scheduled_start_utc,scheduled_end_utc,updated_at_utc
2026-04-13,TRIP_R1_20260413_0,R1,0,2026-04-13T06:05:00Z,2026-04-13T07:05:00Z,2026-04-13T00:00:00Z
2026-04-13,TRIP_R1_20260413_1,R1,1,2026-04-13T16:05:00Z,2026-04-13T17:05:00Z,2026-04-13T00:00:00Z
2026-04-13,TRIP_R2_20260413_0,R2,0,2026-04-13T06:05:00Z,2026-04-13T07:05:00Z,2026-04-13T00:00:00Z
2026-04-13,TRIP_R2_20260413_1,R2,1,2026-04-13T16:05:00Z,2026-04-13T17:05:00Z,2026-04-13T00:00:00Z
2026-04-13,TRIP_R3_20260413_0,R3,0,2026-04-13T06:05:00Z,2026-04-13T07:05:00Z,2026-04-13T00:00:00Z
2026-04-13,TRIP_R3_20260413_1,R3,1,2026-04-13T16:05:00Z,2026-04-13T17:05:00Z,2026-04-13T00:00:00Z
2026-04-13,TRIP_R4_20260413_0,R4,0,2026-04-13T06:05:00Z,2026-04-13T07:05:00Z,2026-04-13T00:00:00Z
2026-04-13,TRIP_R4_20260413_1,R4,1,2026-04-13T16:05:00Z,2026-04-13T17:05:00Z,2026-04-13T00:00:00Z
2026-04-14,TRIP_R1_20260414_0,R1,0,2026-04-14T06:05:00Z,2026-04-14T07:05:00Z,2026-04-14T00:00:00Z
2026-04-14,TRIP_R1_20260414_1,R1,1,2026-04-14T16:05:00Z,2026-04-14T17:05:00Z,2026-04-14T00:00:00Z
2026-04-14,TRIP_R2_20260414_0,R2,0,2026-04-14T06:05:00Z,2026-04-14T07:05:00Z,2026-04-14T00:00:00Z
2026-04-14,TRIP_R2_20260414_1,R2,1,2026-04-14T16:05:00Z,2026-04-14T17:05:00Z,2026-04-14T00:00:00Z
2026-04-14,TRIP_R3_20260414_0,R3,0,2026-04-14T06:05:00Z,2026-04-14T07:05:00Z,2026-04-14T00:00:00Z
2026-04-14,TRIP_R3_20260414_1,R3,1,2026-04-14T16:05:00Z,2026-04-14T17:05:00Z,2026-04-14T00:00:00Z
2026-04-14,TRIP_R4_20260414_0,R4,0,2026-04-14T06:05:00Z,2026-04-14T07:05:00Z,2026-04-14T00:00:00Z
2026-04-14,TRIP_R4_20260414_1,R4,1,2026-04-14T16:05:00Z,2026-04-14T17:05:00Z,2026-04-14T00:00:00Z
2026-04-15,TRIP_R1_20260415_0,R1,0,2026-04-15T06:05:00Z,2026-04-15T07:05:00Z,2026-04-15T00:00:00Z
2026-04-15,TRIP_R1_20260415_1,R1,1,2026-04-15T16:05:00Z,2026-04-15T17:05:00Z,2026-04-15T00:00:00Z
2026-04-15,TRIP_R2_20260415_0,R2,0,2026-04-15T06:05:00Z,2026-04-15T07:05:00Z,2026-04-15T00:00:00Z
2026-04-15,TRIP_R2_20260415_1,R2,1,2026-04-15T16:05:00Z,2026-04-15T17:05:00Z,2026-04-15T00:00:00Z
2026-04-15,TRIP_R3_20260415_0,R3,0,2026-04-15T06:05:00Z,2026-04-15T07:05:00Z,2026-04-15T00:00:00Z
2026-04-15,TRIP_R3_20260415_1,R3,1,2026-04-15T16:05:00Z,2026-04-15T17:05:00Z,2026-04-15T00:00:00Z
2026-04-15,TRIP_R4_20260415_0,R4,0,2026-04-15T06:05:00Z,2026-04-15T07:05:00Z,2026-04-15T00:00:00Z
2026-04-15,TRIP_R4_20260415_1,R4,1,2026-04-15T16:05:00Z,2026-04-15T17:05:00Z,2026-04-15T00:00:00Z
