gate_event_id,device_id,station_id,zone_code,route_id,service_date,passenger_count
MGATE_STN_010_0,GATE_DEV_STN_010,STN_010,Z-WEST,R4,2026-04-15,5
MGATE_STN_010_1,GATE_DEV_STN_010,STN_010,Z-WEST,R4,2026-04-15,6
MGATE_STN_010_2,GATE_DEV_STN_010,STN_010,Z-WEST,R4,2026-04-15,7
MGATE_STN_010_3,GATE_DEV_STN_010,STN_010,Z-WEST,R4,2026-04-15,5
MGATE_STN_011_0,GATE_DEV_STN_011,STN_011,Z-WEST,R4,2026-04-15,5
MGATE_STN_011_1,GATE_DEV_STN_011,STN_011,Z-WEST,R4,2026-04-15,6
MGATE_STN_011_2,GATE_DEV_STN_011,STN_011,Z-WEST,R4,2026-04-15,7
MGATE_STN_011_3,GATE_DEV_STN_011,STN_011,Z-WEST,R4,2026-04-15,5
MGATE_STN_012_0,GATE_DEV_STN_012,STN_012,Z-WEST,R4,2026-04-15,5
MGATE_STN_012_1,GATE_DEV_STN_012,STN_012,Z-WEST,R4,2026-04-15,6
MGATE_STN_012_2,GATE_DEV_STN_012,STN_012,Z-WEST,R4,2026-04-15,7
MGATE_STN_012_3,GATE_DEV_STN_012,STN_012,Z-WEST,R4,2026-04-15,5
