gate_event_id,device_id,station_id,zone_code,route_id,service_date,passenger_count
MGATE_STN_004_0,GATE_DEV_STN_004,STN_004,Z-NORTH,R2,2026-04-15,5
MGATE_STN_004_1,GATE_DEV_STN_004,STN_004,Z-NORTH,R2,2026-04-15,6
MGATE_STN_004_2,GATE_DEV_STN_004,STN_004,Z-NORTH,R2,2026-04-15,7
MGATE_STN_004_3,GATE_DEV_STN_004,STN_004,Z-NORTH,R2,2026-04-15,5
MGATE_STN_005_0,GATE_DEV_STN_005,STN_005,Z-NORTH,R2,2026-04-15,5
MGATE_STN_005_1,GATE_DEV_STN_005,STN_005,Z-NORTH,R2,2026-04-15,6
MGATE_STN_005_2,GATE_DEV_STN_005,STN_005,Z-NORTH,R2,2026-04-15,7
MGATE_STN_005_3,GATE_DEV_STN_005,STN_005,Z-NORTH,R2,2026-04-15,5
MGATE_STN_006_0,GATE_DEV_STN_006,STN_006,Z-NORTH,R2,2026-04-15,5
MGATE_STN_006_1,GATE_DEV_STN_006,STN_006,Z-NORTH,R2,2026-04-15,6
MGATE_STN_006_2,GATE_DEV_STN_006,STN_006,Z-NORTH,R2,2026-04-15,7
MGATE_STN_006_3,GATE_DEV_STN_006,STN_006,Z-NORTH,R2,2026-04-15,5
